station,city,state,latitude,longitude,last_update,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2
"Rajiv Nagar, Vijayawada - APPCB",Vijayawada,Andhra Pradesh,16.554731,80.64911,2026-07-03 21:00:00,22.0,4.0,27.0,28.0,73.0,66.0,14.0
"Rampur, Korba - CECB",Korba,Chhattisgarh,22.368195,82.746431,2026-07-03 21:00:00,13.0,1.0,9.0,8.0,42.0,1.0,5.0
"Rohini, Delhi - DPCC",Delhi,Delhi,28.732528,77.11992,2026-07-03 21:00:00,61.0,7.0,30.0,21.0,111.0,86.0,9.0
"SAC ISRO Bopal, Ahmedabad - IITM",Ahmedabad,Gujarat,23.041137,72.456691,2026-07-03 21:00:00,9.0,,,12.0,48.0,41.0,1.0
"SDM Office_Khagra, Kishanganj - BSPCB",Kishanganj,Bihar,26.0881305,87.93840336,2026-07-03 21:00:00,14.0,3.0,7.0,34.0,68.0,68.0,8.0
"SFTI Kusdihra, Gaya - BSPCB",Gaya,Bihar,24.762518,84.982348,2026-07-03 21:00:00,20.0,6.0,22.0,27.0,41.0,37.0,10.0
"Samanpura, Patna - BSPCB",Patna,Bihar,25.596727,85.085624,2026-07-03 21:00:00,20.0,9.0,18.0,51.0,102.0,91.0,4.0
"Secretariat, Amaravati - APPCB",Amaravati,Andhra Pradesh,16.5150833,80.5181667,2026-07-03 21:00:00,10.0,3.0,18.0,33.0,46.0,24.0,16.0
"Sector 22, Chandigarh - CPCC",Chandigarh,Chandigarh,30.735567,76.775714,2026-07-03 21:00:00,63.0,11.0,11.0,19.0,31.0,24.0,5.0
"Sector-25, Chandigarh - CPCC",Chandigarh,Chandigarh,30.751462,76.762879,2026-07-03 21:00:00,21.0,14.0,13.0,33.0,36.0,39.0,6.0
"Sector-53, Chandigarh - CPCC",Chandigarh,Chandigarh,30.719859,76.738637,2026-07-03 21:00:00,47.0,18.0,36.0,33.0,19.0,18.0,3.0
"Shadipur, Delhi - CPCB",Delhi,Delhi,28.6514781,77.1473105,2026-07-03 21:00:00,52.0,9.0,40.0,27.0,86.0,86.0,8.0
"Siltara Phase-II, Raipur - CECB",Raipur,Chhattisgarh,21.371751,81.664929,2026-07-03 21:00:00,17.0,2.0,6.0,7.0,72.0,51.0,13.0
"Sirifort, Delhi - CPCB",Delhi,Delhi,28.5504249,77.2159377,2026-07-03 21:00:00,24.0,14.0,,20.0,99.0,91.0,25.0
"Sita Rama Nagar, Kurnool - APPCB",Kurnool,Andhra Pradesh,15.83411,78.028546,2026-07-03 21:00:00,12.0,,,16.0,,,
"Sonia Vihar, Delhi - DPCC",Delhi,Delhi,28.710508,77.249485,2026-07-03 21:00:00,49.0,18.0,29.0,17.0,108.0,103.0,7.0
"Sri Aurobindo Marg, Delhi - DPCC",Delhi,Delhi,28.531346,77.190156,2026-07-03 21:00:00,46.0,10.0,32.0,19.0,80.0,82.0,8.0
"Srinivas Nagar Colony, Machilipatnam - APPCB",Machilipatnam,Andhra Pradesh,16.186555,81.13219,2026-07-03 21:00:00,28.0,3.0,23.0,32.0,63.0,63.0,17.0
"Talkatora Garden, Delhi - DPCC",Delhi,Delhi,28.62181,77.1944633,2026-07-03 21:00:00,49.0,4.0,18.0,77.0,,,3.0
"Tarapur, Silchar - PCBA",Silchar,Assam,24.82827,92.79525,2026-07-03 21:00:00,44.0,1.0,18.0,5.0,45.0,32.0,6.0
"Toll Gate, Tirumala - APPCB",Tirumala,Andhra Pradesh,13.67,79.35,2026-07-03 21:00:00,17.0,3.0,57.0,17.0,32.0,20.0,7.0
"Town Hall, Munger - BSPCB",Munger,Bihar,25.376776,86.471523,2026-07-03 21:00:00,46.0,3.0,5.0,2.0,38.0,47.0,30.0
"Urja Nagar, Korba - CECB",Korba,Chhattisgarh,22.348441,82.549611,2026-07-03 21:00:00,50.0,1.0,8.0,2.0,12.0,8.0,12.0
"Vaikuntapuram, Tirupati - APPCB",Tirupati,Andhra Pradesh,13.615387,79.40923,2026-07-03 21:00:00,27.0,6.0,32.0,46.0,70.0,50.0,15.0
"Vivek Vihar, Delhi - DPCC",Delhi,Delhi,28.672342,77.31526,2026-07-03 21:00:00,40.0,7.0,35.0,29.0,99.0,63.0,10.0
"Wazirpur, Delhi - DPCC",Delhi,Delhi,28.699793,77.165453,2026-07-03 21:00:00,74.0,10.0,37.0,20.0,127.0,78.0,10.0
"Yerramukkapalli, Kadapa - APPCB",Kadapa,Andhra Pradesh,14.465052,78.824187,2026-07-03 21:00:00,22.0,20.0,31.0,46.0,78.0,82.0,12.0
